severity,code,review,scope,ncts,message
P1,T05b,ADHD_NEW_NMA_REVIEW,trial,NCT05000712,"Sign-mixed effect: HR=-3.0, LCI=-6.0, UCI=0.0 — scale confusion likely"
P1,T05b,ALS_NEW_AGENTS_NMA_REVIEW,trial,NCT02623699,"Sign-mixed effect: HR=1.2, LCI=-3.2, UCI=5.6 — scale confusion likely"
P1,T05b,ALS_NEW_AGENTS_NMA_REVIEW,trial,NCT04165616,"Sign-mixed effect: HR=0.31, LCI=-1.21, UCI=1.83 — scale confusion likely"
P1,T05b,ALS_NEW_AGENTS_NMA_REVIEW,trial,NCT01285583,"Sign-mixed effect: HR=1.41, LCI=-0.32, UCI=3.14 — scale confusion likely"
P1,T05b,ALS_NEW_AGENTS_NMA_REVIEW,trial,NCT04297683,"Sign-mixed effect: HR=1.2, LCI=-1.3, UCI=3.7 — scale confusion likely"
P1,T05b,ALS_NEW_AGENTS_NMA_REVIEW,trial,NCT03491462,"Sign-mixed effect: HR=1.6, LCI=-0.7, UCI=3.9 — scale confusion likely"
P1,T05b,ALS_NEW_AGENTS_NMA_REVIEW,trial,NCT04203797,"Sign-mixed effect: HR=0.6, LCI=-0.9, UCI=2.1 — scale confusion likely"
P1,T05b,ANTIAMYLOID_AD_NMA_REVIEW,trial,NCT02484547,"Sign-mixed effect: HR=0.03, LCI=-0.26, UCI=0.32 — scale confusion likely"
P1,T05b,ANTIAMYLOID_AD_NMA_REVIEW,trial,NCT03444870,"Sign-mixed effect: HR=-0.31, LCI=-0.66, UCI=0.05 — scale confusion likely"
P1,T05b,ANTIAMYLOID_AD_NMA_REVIEW,trial,NCT03443973,"Sign-mixed effect: HR=-0.19, LCI=-0.55, UCI=0.17 — scale confusion likely"
P1,T05b,ANTIAMYLOID_AD_NMA_REVIEW,trial,NCT01900665,"Sign-mixed effect: HR=-0.1, LCI=-0.26, UCI=0.07 — scale confusion likely"
P1,T05b,ANTIAMYLOID_AD_REVIEW,trial,NCT02484547,"Sign-mixed effect: HR=0.03, LCI=-0.26, UCI=0.32 — scale confusion likely"
P1,T05b,ANTIVEGF_NAMD_NMA_REVIEW,trial,NCT00509795,"Sign-mixed effect: HR=0.5, LCI=-1.1, UCI=2.1 — scale confusion likely"
P1,T05b,ANTIVEGF_NAMD_NMA_REVIEW,trial,NCT00637377,"Sign-mixed effect: HR=0.6, LCI=-1.1, UCI=2.3 — scale confusion likely"
P1,T05b,ANTIVEGF_NAMD_NMA_REVIEW,trial,NCT03823287,"Sign-mixed effect: HR=0.7, LCI=-0.65, UCI=2.05 — scale confusion likely"
