severity,code,review,scope,ncts,message
P0,R01,PREDICTION_MODEL_KFRE_REVIEW,review,,No trials in realData
P1,R04,ATTR_PN_REVIEW,trial,NCT01960348,publishedHR set but allOutcomes are all CONTINUOUS — likely scale mismatch
P1,R04,ATTR_PN_REVIEW,trial,NCT03759379,publishedHR set but allOutcomes are all CONTINUOUS — likely scale mismatch
P1,R04,ATTR_PN_REVIEW,trial,NCT04136184,publishedHR set but allOutcomes are all CONTINUOUS — likely scale mismatch
P1,R04,BIOLOGIC_ASTHMA_REVIEW,trial,NCT01691521,publishedHR set but allOutcomes are all CONTINUOUS — likely scale mismatch
P1,R04,BIOLOGIC_ASTHMA_REVIEW,trial,NCT01914757,publishedHR set but allOutcomes are all CONTINUOUS — likely scale mismatch
P1,R04,BIOLOGIC_ASTHMA_REVIEW,trial,NCT02414854,publishedHR set but allOutcomes are all CONTINUOUS — likely scale mismatch
P1,R04,BIOLOGIC_ASTHMA_REVIEW,trial,NCT03347279,publishedHR set but allOutcomes are all CONTINUOUS — likely scale mismatch
P1,R06,ACALABRUTINIB_CLL_REVIEW,review,,"Random-effects log-OR pool (0.119, k=2) diverges from median publishedHR (0.280) by |Δlog|=0.86"
P1,R06,AD_PEDIATRIC_BIOLOGIC_NMA_REVIEW,review,,"Random-effects log-OR pool (29.614, k=5) diverges from median publishedHR (5.200) by |Δlog|=1.74"
P1,R06,ANTIAMYLOID_AD_REVIEW,review,,"Random-effects log-OR pool (0.992, k=2) diverges from median publishedHR (0.030) by |Δlog|=3.50"
P1,R06,ANTIFUNGAL_NEWER_RESISTANT_REVIEW,review,,"Random-effects log-OR pool (2.992, k=9) diverges from median publishedHR (1.390) by |Δlog|=0.77"
P1,R06,ANTIVEGF_NAMD_NMA_REVIEW,review,,"Random-effects log-OR pool (1.002, k=11) diverges from median publishedHR (0.600) by |Δlog|=0.51"
P1,R06,BIMEKIZUMAB_PSORIASIS_REVIEW,review,,"Random-effects log-OR pool (55.105, k=3) diverges from median publishedHR (17.620) by |Δlog|=1.14"
P1,R06,BPAL_MDRTB_REVIEW,review,,"Random-effects log-OR pool (2.956, k=3) diverges from median publishedHR (1.170) by |Δlog|=0.93"
P1,R06,CAB_PREP_HIV_REVIEW,review,,"Random-effects log-OR pool (0.205, k=2) diverges from median publishedHR (0.340) by |Δlog|=0.51"
P1,R06,CARDIAC_CONTRACTILITY_MOD_NMA_REVIEW,review,,"Random-effects log-OR pool (486.757, k=2) diverges from median publishedHR (0.840) by |Δlog|=6.36"
P1,R06,CART_B_CELL_LYMPHOMA_REVIEW,review,,"Random-effects log-OR pool (0.396, k=5) diverges from median publishedHR (0.730) by |Δlog|=0.61"
P1,R06,CAR_T_LBCL_BROAD_NMA_REVIEW,review,,"Random-effects log-OR pool (0.374, k=3) diverges from median publishedHR (0.640) by |Δlog|=0.54"
P1,R06,CFTR_MODULATORS_NMA_REVIEW,review,,"Random-effects log-OR pool (0.794, k=3) diverges from median publishedHR (4.000) by |Δlog|=1.62"
P1,R06,CHRONIC_URTICARIA_BIOLOGICS_REVIEW,review,,"Random-effects log-OR pool (4.073, k=10) diverges from median publishedHR (2.090) by |Δlog|=0.67"
P1,R06,CMV_HCT_LETERMOVIR_NMA_REVIEW,review,,"Random-effects log-OR pool (0.551, k=2) diverges from median publishedHR (0.950) by |Δlog|=0.55"
P1,R06,CONGENITAL_ADRENAL_HYPER_NMA_REVIEW,review,,"Random-effects log-OR pool (9.134, k=3) diverges from median publishedHR (4.750) by |Δlog|=0.65"
P1,R06,COPD_TRIPLE_REVIEW,review,,"Random-effects log-OR pool (0.113, k=3) diverges from median publishedHR (0.750) by |Δlog|=1.89"
P1,R06,COVID_ORAL_ANTIVIRALS_REVIEW,review,,"Random-effects log-OR pool (0.279, k=2) diverges from median publishedHR (0.690) by |Δlog|=0.90"
P1,R06,CTEPH_NMA_REVIEW,review,,"Random-effects log-OR pool (4.144, k=7) diverges from median publishedHR (39.000) by |Δlog|=2.24"
P1,R06,DERMATOMYOSITIS_NMA_REVIEW,review,,"Random-effects log-OR pool (2.773, k=2) diverges from median publishedHR (1.100) by |Δlog|=0.92"
P1,R06,DIABETIC_RETINOPATHY_REVIEW,review,,"Random-effects log-OR pool (1.011, k=3) diverges from median publishedHR (2.200) by |Δlog|=0.78"
P1,R06,DOLUTEGRAVIR_ART_SSA_REVIEW,review,,"Random-effects log-OR pool (1.965, k=3) diverges from median publishedHR (1.110) by |Δlog|=0.57"
P1,R06,DRY_EYE_NEW_NMA_REVIEW,review,,"Random-effects log-OR pool (2.760, k=10) diverges from median publishedHR (1.500) by |Δlog|=0.61"
P1,R06,DUPILUMAB_COPD_REVIEW,review,,"Random-effects log-OR pool (0.057, k=2) diverges from median publishedHR (0.700) by |Δlog|=2.50"
P1,R06,ENDOMETRIOSIS_NEW_GNRH_NMA_REVIEW,review,,"Random-effects log-OR pool (7.111, k=8) diverges from median publishedHR (2.770) by |Δlog|=0.94"
P1,R06,EOE_BIOLOGIC_NMA_REVIEW,review,,"Random-effects log-OR pool (31.121, k=6) diverges from median publishedHR (8.150) by |Δlog|=1.34"
P1,R06,EOSINOPHILIC_DISEASES_BROAD_REVIEW,review,,"Random-effects log-OR pool (8.863, k=11) diverges from median publishedHR (2.670) by |Δlog|=1.20"
P1,R06,EPILEPSY_NEW_AGENTS_NMA_REVIEW,review,,"Random-effects log-OR pool (5.593, k=9) diverges from median publishedHR (2.920) by |Δlog|=0.65"
P1,R06,ESD_VS_EMR_EARLY_GI_NMA_REVIEW,review,,"Random-effects log-OR pool (5.888, k=8) diverges from median publishedHR (1.380) by |Δlog|=1.45"
P1,R06,FCRN_AGONIST_BROAD_NMA_REVIEW,review,,"Random-effects log-OR pool (3.622, k=6) diverges from median publishedHR (2.160) by |Δlog|=0.52"
P1,R06,FENFLURAMINE_SEIZURE_REVIEW,review,,"Random-effects log-OR pool (9.113, k=3) diverges from median publishedHR (5.400) by |Δlog|=0.52"
P1,R06,GERD_PCAB_NEW_NMA_REVIEW,review,,"Random-effects log-OR pool (3.609, k=2) diverges from median publishedHR (1.160) by |Δlog|=1.13"
P1,R06,GLOMERULONEPHRITIS_BIOLOGICS_REVIEW,review,,"Random-effects log-OR pool (2.817, k=8) diverges from median publishedHR (1.570) by |Δlog|=0.58"
P1,R06,GVHD_NEW_AGENTS_REVIEW,review,,"Random-effects log-OR pool (1.619, k=4) diverges from median publishedHR (0.750) by |Δlog|=0.77"
P1,R06,GnRH_ANTAGONISTS_GYN_REVIEW,review,,"Random-effects log-OR pool (12.079, k=10) diverges from median publishedHR (3.700) by |Δlog|=1.18"
P1,R06,HAE_PROPHYLAXIS_REVIEW,review,,"Random-effects log-OR pool (0.147, k=6) diverges from median publishedHR (0.500) by |Δlog|=1.23"
P1,R06,HBV_FUNCTIONAL_CURE_REVIEW,review,,"Random-effects log-OR pool (15.340, k=9) diverges from median publishedHR (7.440) by |Δlog|=0.72"
P1,R06,HCV_DAA_NEW_NMA_REVIEW,review,,"Random-effects log-OR pool (9.241, k=9) diverges from median publishedHR (1.060) by |Δlog|=2.17"
P1,R06,HEMODIALYSIS_AV_ACCESS_DCB_NMA_REVIEW,review,,"Random-effects log-OR pool (2.933, k=2) diverges from median publishedHR (1.630) by |Δlog|=0.59"
