severity,code,review,scope,ncts,message
P1,T01,ANTIPSYCHOTICS_SCHIZO_REVIEW,trial,LEGACY-OLANZAPINE-PIVOTAL,Invalid NCT ID format: 'LEGACY-OLANZAPINE-PIVOTAL'
P1,T01,ANTIPSYCHOTICS_SCHIZO_REVIEW,trial,LEGACY-RISPERIDONE-PIVOTAL,Invalid NCT ID format: 'LEGACY-RISPERIDONE-PIVOTAL'
P1,T01,ANTIPSYCHOTICS_SCHIZO_REVIEW,trial,LEGACY-QUETIAPINE-PIVOTAL,Invalid NCT ID format: 'LEGACY-QUETIAPINE-PIVOTAL'
P1,T01,ANTIPSYCHOTICS_SCHIZO_REVIEW,trial,LEGACY-ARIPIPRAZOLE-PIVOTAL,Invalid NCT ID format: 'LEGACY-ARIPIPRAZOLE-PIVOTAL'
P1,T01,ANTIPSYCHOTICS_SCHIZO_REVIEW,trial,LEGACY-ZIPRASIDONE-PIVOTAL,Invalid NCT ID format: 'LEGACY-ZIPRASIDONE-PIVOTAL'
P1,T01,ANTIPSYCHOTICS_SCHIZO_REVIEW,trial,LEGACY-PALIPERIDONE-PIVOTAL,Invalid NCT ID format: 'LEGACY-PALIPERIDONE-PIVOTAL'
P1,T01,ANTIPSYCHOTICS_SCHIZO_REVIEW,trial,LEGACY-LURASIDONE-PIVOTAL,Invalid NCT ID format: 'LEGACY-LURASIDONE-PIVOTAL'
P1,T01,ANTIPSYCHOTICS_SCHIZO_REVIEW,trial,LEGACY-HALOPERIDOL-PIVOTAL,Invalid NCT ID format: 'LEGACY-HALOPERIDOL-PIVOTAL'
P1,T01,ANTIVEGF_NAMD_NMA_REVIEW,trial,ISRCTN92166560,Invalid NCT ID format: 'ISRCTN92166560'
P1,T01,ARDS_PRONE_POSITIONING_REVIEW,trial,NCT04553575b,Invalid NCT ID format: 'NCT04553575b'
P1,T01,CARBAPENEM_RESISTANT_ABX_REVIEW,trial,NCT02168946b,Invalid NCT ID format: 'NCT02168946b'
P1,T01,CARBAPENEM_RESISTANT_ABX_REVIEW,trial,NCT02321800b,Invalid NCT ID format: 'NCT02321800b'
P1,T01,CD_BIOLOGICS_NMA_REVIEW,trial,LEGACY-PRENCT-ACCENT-1,Invalid NCT ID format: 'LEGACY-PRENCT-ACCENT-1'
P1,T01,CD_BIOLOGICS_NMA_REVIEW,trial,LEGACY-PRENCT-CLASSIC-1,Invalid NCT ID format: 'LEGACY-PRENCT-CLASSIC-1'
P1,T01,COLCHICINE_CVD_REVIEW,trial,ACTRN-LODOCO2,Invalid NCT ID format: 'ACTRN-LODOCO2'
P1,T01,COLCHICINE_CVD_REVIEW,trial,ACTRN-COPS,Invalid NCT ID format: 'ACTRN-COPS'
P1,T01,COVID19_HOSPITALIZED_TX_REVIEW,trial,NCT04381936b,Invalid NCT ID format: 'NCT04381936b'
P1,T01,COVID19_HOSPITALIZED_TX_REVIEW,trial,NCT04381936c,Invalid NCT ID format: 'NCT04381936c'
P1,T01,COVID19_HOSPITALIZED_TX_REVIEW,trial,NCT04381936d,Invalid NCT ID format: 'NCT04381936d'
P1,T01,COVID19_HOSPITALIZED_TX_REVIEW,trial,NCT04381936e,Invalid NCT ID format: 'NCT04381936e'
P1,T01,COVID19_HOSPITALIZED_TX_REVIEW,trial,NCT04575597b,Invalid NCT ID format: 'NCT04575597b'
P1,T01,CRYPTOCOCCAL_MENINGITIS_AFRICA_REVIEW,trial,LEGACY-ISRCTN-45035509-ACTA,Invalid NCT ID format: 'LEGACY-ISRCTN-45035509-ACTA'
P1,T01,CRYPTOCOCCAL_MENINGITIS_AFRICA_REVIEW,trial,LEGACY-ISRCTN-72509687-AMBITION-CM,Invalid NCT ID format: 'LEGACY-ISRCTN-72509687-AMBITION-CM'
P1,T01,DEPRESSION_NEW_RAPID_REVIEW,trial,NCT02418585b,Invalid NCT ID format: 'NCT02418585b'
P1,T01,DEPRESSION_NEW_RAPID_REVIEW,trial,NCT03775200b,Invalid NCT ID format: 'NCT03775200b'
P1,T01,EBOLA_VACCINE_REVIEW,trial,LEGACY-PACTR-EBOLA-CI-RING,Invalid NCT ID format: 'LEGACY-PACTR-EBOLA-CI-RING'
P1,T01,EOSINOPHILIC_DISEASES_BROAD_REVIEW,trial,NCT03633617b,Invalid NCT ID format: 'NCT03633617b'
P1,T01,FRAGILITY_FRACTURE_REVIEW,trial,LEGACY-VERT-1999,Invalid NCT ID format: 'LEGACY-VERT-1999'
P1,T01,GLOMERULONEPHRITIS_BIOLOGICS_REVIEW,trial,NCT04578834b,Invalid NCT ID format: 'NCT04578834b'
P1,T01,HBV_NEW_AGENTS_NMA_REVIEW,trial,NCT04129554b,Invalid NCT ID format: 'NCT04129554b'
P1,T01,HFNC_NIV_RESP_FAILURE_REVIEW,trial,NCT04425135b,Invalid NCT ID format: 'NCT04425135b'
P1,T01,HIV_ART_FIRSTLINE_REVIEW,trial,NCT03122262_TDF,Invalid NCT ID format: 'NCT03122262_TDF'
P1,T01,HPV_DOSE_REDUCTION_REVIEW,trial,NCT03675256_NONAV,Invalid NCT ID format: 'NCT03675256_NONAV'
P1,T01,INTENSIVE_BP_REVIEW,trial,NCT01206062_SENIOR,Invalid NCT ID format: 'NCT01206062_SENIOR'
P1,T01,INTENSIVE_BP_REVIEW,trial,NCT01206062_CKD,Invalid NCT ID format: 'NCT01206062_CKD'
P1,T01,JAKI_RA_NMA_REVIEW,trial,NCT02889796B,Invalid NCT ID format: 'NCT02889796B'
P1,T01,LIVER_TRANSPLANT_HCV_NMA_REVIEW,trial,NCT04449003b,Invalid NCT ID format: 'NCT04449003b'
P1,T01,MEDITERRANEAN_DIET_CV_REVIEW,trial,LEGACY-ISRCTN-35739639-PREDIMED,Invalid NCT ID format: 'LEGACY-ISRCTN-35739639-PREDIMED'
P1,T01,MEDITERRANEAN_DIET_CV_REVIEW,trial,LEGACY-ISRCTN-89898870-PREDIMEDPLUS,Invalid NCT ID format: 'LEGACY-ISRCTN-89898870-PREDIMEDPLUS'
P1,T01,MENTAL_HEALTH_FRIENDSHIP_BENCH_REVIEW,trial,LEGACY-PACTR-FRIENDSHIP-BENCH,Invalid NCT ID format: 'LEGACY-PACTR-FRIENDSHIP-BENCH'
P1,T01,NORMOTHERMIC_TRANSPLANT_NMA_REVIEW,trial,NCT03831048b,Invalid NCT ID format: 'NCT03831048b'
P1,T01,NSCLC_PD1_1L_REVIEW,trial,NCT02366143b,Invalid NCT ID format: 'NCT02366143b'
P1,T01,OMEGA3_HIGHDOSE_CV_REVIEW,trial,UMIN000012069,Invalid NCT ID format: 'UMIN000012069'
P1,T01,OVARIAN_PARP_REVIEW,trial,NCT01874353b,Invalid NCT ID format: 'NCT01874353b'
P1,T01,OVARIAN_PARP_REVIEW,trial,NCT03522246b,Invalid NCT ID format: 'NCT03522246b'
P1,T01,PD1_RCC_1L_REVIEW,trial,NCT04338269b,Invalid NCT ID format: 'NCT04338269b'
P1,T01,PEDIATRIC_HIV_ART_REVIEW,trial,LEGACY-ISRCTN-69078957-CHAPAS-3,Invalid NCT ID format: 'LEGACY-ISRCTN-69078957-CHAPAS-3'
P1,T01,PEDIATRIC_HIV_ART_REVIEW,trial,LEGACY-ISRCTN-24791884-ARROW,Invalid NCT ID format: 'LEGACY-ISRCTN-24791884-ARROW'
P1,T01,PEGCETACOPLAN_GA_REVIEW,trial,NCT03525613_PEOM,Invalid NCT ID format: 'NCT03525613_PEOM'
P1,T01,PEGCETACOPLAN_GA_REVIEW,trial,NCT03525600_PEOM,Invalid NCT ID format: 'NCT03525600_PEOM'
P1,T01,PNEUMONIA_AMOXICILLIN_DURATION_REVIEW,trial,LEGACY-ISRCTN-76888927-CAP-IT,Invalid NCT ID format: 'LEGACY-ISRCTN-76888927-CAP-IT'
P1,T01,PNH_NEW_COMPLEMENT_REVIEW,trial,NCT04434092b,Invalid NCT ID format: 'NCT04434092b'
P1,T01,POSTOP_AKI_PREVENTION_REVIEW,trial,NCT04138173b,Invalid NCT ID format: 'NCT04138173b'
P1,T01,POSTPARTUM_HEMORRHAGE_REVIEW,trial,LEGACY-ISRCTN-76912190-WOMAN,Invalid NCT ID format: 'LEGACY-ISRCTN-76912190-WOMAN'
P1,T01,POSTPARTUM_HEMORRHAGE_REVIEW,trial,LEGACY-ISRCTN-95444399-CHAMPION,Invalid NCT ID format: 'LEGACY-ISRCTN-95444399-CHAMPION'
P1,T01,PREGNANCY_IRON_FCM_REVIEW,trial,LEGACY-ANZCTR-12618001268235-FCM,Invalid NCT ID format: 'LEGACY-ANZCTR-12618001268235-FCM'
P1,T01,PROSTATE_AR_NEXT_GEN_REVIEW,trial,NCT02489318b,Invalid NCT ID format: 'NCT02489318b'
P1,T01,RENAL_DENERV_REVIEW,trial,NCT02439749_ON,Invalid NCT ID format: 'NCT02439749_ON'
P1,T01,RENAL_DENERV_REVIEW,trial,NCT02439749_OFF,Invalid NCT ID format: 'NCT02439749_OFF'
P1,T01,SEVERE_PEDIATRIC_FEBRILE_AFRICA_REVIEW,trial,LEGACY-ISRCTN-50258054-AQUAMAT,Invalid NCT ID format: 'LEGACY-ISRCTN-50258054-AQUAMAT'
P1,T01,SEVERE_PEDIATRIC_FEBRILE_AFRICA_REVIEW,trial,LEGACY-ISRCTN-69856593-FEAST,Invalid NCT ID format: 'LEGACY-ISRCTN-69856593-FEAST'
P1,T01,SEVERE_PEDIATRIC_FEBRILE_AFRICA_REVIEW,trial,LEGACY-ISRCTN-84086586-TRACT,Invalid NCT ID format: 'LEGACY-ISRCTN-84086586-TRACT'
P1,T01,STROKE_THROMBECTOMY_BROAD_REVIEW,trial,NCT01657461b,Invalid NCT ID format: 'NCT01657461b'
P1,T01,TAVR_LOW_RISK_REVIEW,trial,ISRCTN57819173,Invalid NCT ID format: 'ISRCTN57819173'
P1,T01,TXA_NONCARDIAC_SURGERY_REVIEW,trial,ISRCTN76912190,Invalid NCT ID format: 'ISRCTN76912190'
P1,T01,TYVAC_TYPHOID_REVIEW,trial,ISRCTN43385572,Invalid NCT ID format: 'ISRCTN43385572'
P1,T01,TYVAC_TYPHOID_REVIEW,trial,ISRCTN11643110,Invalid NCT ID format: 'ISRCTN11643110'
P1,T01,VITAMIN_D_FRACTURE_FALL_REVIEW,trial,LEGACY-ACTRN12613000743763-DHEALTH,Invalid NCT ID format: 'LEGACY-ACTRN12613000743763-DHEALTH'
P1,T01,VITAMIN_D_FRACTURE_FALL_REVIEW,trial,LEGACY-ACTRN12611000402943-VIDA,Invalid NCT ID format: 'LEGACY-ACTRN12611000402943-VIDA'
P1,T01,YELLOW_FEVER_FRACTIONAL_REVIEW,trial,LEGACY-NONNCT-CASEY-2019-YF,Invalid NCT ID format: 'LEGACY-NONNCT-CASEY-2019-YF'
