Section,Item,PRISMA-ScR Checklist Item,Reported on Page/Section,Notes
TITLE,1,Identify the report as a scoping review,Title,"Title includes 'Living Meta-Analysis Engine'"
ABSTRACT,2,"Provide a structured summary including background, objectives, eligibility criteria, sources of evidence, charting methods, results, conclusions",Abstract,"Structured abstract: Background/Methods/Results/Conclusions"
INTRODUCTION,3,Describe the rationale for the review,Introduction para 1,"Gap between accessible and rigorous tools"
INTRODUCTION,4,Provide an explicit statement of the questions,Introduction para 2,"Integrates complete living review workflow"
METHODS,5,Indicate whether a review protocol exists,Methods,"Software tool paper; no protocol registration (tool development, not SR)"
METHODS,6,Specify eligibility criteria,Methods: Clinical Configurations,"Each config has explicit inclusion/exclusion criteria"
METHODS,7,Describe all information sources,Methods: Architecture + Text Extractor,"CT.gov API v2, Europe PMC, OpenAlex, PubMed"
METHODS,8,Present the full search strategy,Methods: Clinical Configurations,"Search strategies embedded in each CONFIG_LIBRARY entry"
METHODS,9,"State the process for selecting sources of evidence",Methods: Text Extractor,"Auto-screening with confidence tiers (AUTO_VERIFIED, SPOT_CHECK, NEEDS_REVIEW)"
METHODS,10,"Describe the methods of charting data",Methods: Statistical Engine,"Dual-track synthesis (HR pool + OR pool), 6 tau2 estimators"
METHODS,11,List and define variables,Methods: Statistical Engine,"OR, HR, RR, IRR, MD, SMD, ARD, NNT/NNH with CI"
METHODS,12,"Describe methods of critical appraisal",Methods: GRADE Assessment,"5-domain GRADE with automated downgrade rules"
METHODS,13,"Describe methods used to synthesize results",Methods: Statistical Engine,"IV-weighted RE, MH, Peto, HKSJ, Bayesian grid approximation"
RESULTS,14,"Give numbers of sources screened, assessed, included",Results: Table 1,"9 configs, 45 trials, ~200K patients"
RESULTS,15,"Present characteristics of sources of evidence",Methods: Clinical Configurations,"Table 1 with trial counts and patient numbers per config"
RESULTS,16,Present data charted for each source,Results,"Colchicine worked example with OR, CI, tau2, I2"
RESULTS,17,"Present results of critical appraisal",Results: Statistical Accuracy,"R parity table showing |Diff| < 0.001 for all metrics"
RESULTS,18,"Present results of synthesis",Results,"Pooled OR, NNT curve, Bayesian posterior, meta-regression"
DISCUSSION,19,"Summarize main findings",Discussion: Strengths,"5 unique capabilities in single distributable file"
DISCUSSION,20,"Discuss limitations of evidence and review",Discussion: Limitations,"8 limitations listed including extraction ceiling, no IPD, outcome heterogeneity"
DISCUSSION,21,"Provide general interpretation",Discussion,"Demonstrates complete workflow in single file with R validation"
FUNDING,22,"Describe sources of funding",Funding,"No external funding"
